Station,Date,Temp_mean,Wind_mean
290,20170101,-1,43
290,20170102,5,27
290,20170103,34,62
290,20170104,39,54
290,20170105,-25,22
290,20170106,-49,23
290,20170107,-16,40
290,20170108,16,11
290,20170109,34,40
290,20170110,43,37
290,20170111,58,74
290,20170112,45,60
290,20170113,16,56
290,20170114,12,47
290,20170115,-18,19
290,20170116,-31,15
290,20170117,-42,11
290,20170118,-35,12
290,20170119,-23,10
290,20170120,-29,16
290,20170121,-6,20
290,20170122,-49,7
290,20170123,-27,19
290,20170124,1,16
290,20170125,-36,18
290,20170126,-36,20
290,20170127,12,31
290,20170128,59,35
290,20170129,46,43
290,20170130,42,41
290,20170131,24,18
290,20170201,31,37
290,20170202,82,38
290,20170203,82,29
290,20170204,67,31
290,20170205,48,22
290,20170206,30,20
290,20170207,5,43
290,20170208,-10,44
290,20170209,-25,40
290,20170210,-23,39
290,20170211,-3,43
290,20170212,1,43
290,20170213,15,46
290,20170214,15,24
290,20170215,57,20
290,20170216,67,40
290,20170217,61,36
290,20170218,53,21
290,20170219,47,36
290,20170220,88,56
290,20170221,85,51
290,20170222,89,73
290,20170223,74,83
290,20170224,36,46
290,20170225,44,54
290,20170226,81,58
290,20170227,97,69
290,20170228,46,63
290,20170301,54,40
290,20170302,53,65
290,20170303,64,35
290,20170304,98,31
290,20170305,73,53
290,20170306,61,22
290,20170307,53,16
290,20170308,57,47
290,20170309,72,48
290,20170310,61,20
290,20170311,84,22
290,20170312,82,40
290,20170313,70,25
290,20170314,91,39
290,20170315,80,28
290,20170316,90,27
290,20170317,82,58
290,20170318,85,51
290,20170319,106,66
290,20170320,101,66
290,20170321,69,45
290,20170322,70,35
290,20170323,80,40
290,20170324,83,45
290,20170325,77,38
290,20170326,81,32
290,20170327,96,22
290,20170328,112,22
290,20170329,120,40
290,20170330,157,38
290,20170331,159,39
290,20170401,125,22
290,20170402,114,30
290,20170403,94,18
290,20170404,89,17
290,20170405,75,33
290,20170406,77,36
290,20170407,106,36
290,20170408,89,15
290,20170409,115,19
290,20170410,98,45
290,20170411,89,40
290,20170412,92,57
290,20170413,81,40
290,20170414,72,32
290,20170415,86,60
290,20170416,66,35
290,20170417,56,35
290,20170418,40,37
290,20170419,31,22
290,20170420,59,19
290,20170421,102,48
290,20170422,71,47
290,20170423,57,37
290,20170424,81,47
290,20170425,56,49
290,20170426,52,23
290,20170427,49,25
290,20170428,65,29
290,20170429,72,18
290,20170430,118,53
290,20170501,97,26
290,20170502,95,32
290,20170503,112,30
290,20170504,96,59
290,20170505,75,33
290,20170506,119,40
290,20170507,120,36
290,20170508,89,38
290,20170509,68,20
290,20170510,81,15
290,20170511,152,33
290,20170512,162,30
290,20170513,155,28
290,20170514,142,34
290,20170515,152,25
290,20170516,202,30
290,20170517,231,33
290,20170518,176,32
290,20170519,138,38
290,20170520,126,30
290,20170521,140,17
290,20170522,178,28
290,20170523,169,40
290,20170524,148,25
290,20170525,161,28
290,20170526,196,28
290,20170527,233,36
290,20170528,204,22
290,20170529,230,28
290,20170530,196,48
290,20170531,172,40
290,20170601,155,14
290,20170602,205,13
290,20170603,194,23
290,20170604,155,30
290,20170605,156,32
290,20170606,149,62
290,20170607,134,70
290,20170608,172,46
290,20170609,163,38
290,20170610,174,31
290,20170611,206,34
290,20170612,161,58
290,20170613,155,33
290,20170614,169,18
290,20170615,208,34
290,20170616,159,47
290,20170617,171,28
290,20170618,203,9
290,20170619,233,13
290,20170620,214,39
290,20170621,200,23
290,20170622,248,52
290,20170623,207,56
290,20170624,169,52
290,20170625,167,40
290,20170626,167,34
290,20170627,164,34
290,20170628,179,31
290,20170629,169,17
290,20170630,164,30
290,20170701,162,36
290,20170702,156,38
290,20170703,164,39
290,20170704,179,22
290,20170705,189,21
290,20170706,210,22
290,20170707,211,28
290,20170708,189,22
290,20170709,184,20
290,20170710,188,20
290,20170711,174,30
290,20170712,143,30
290,20170713,141,10
290,20170714,147,30
290,20170715,170,27
290,20170716,181,32
290,20170717,179,23
290,20170718,193,31
290,20170719,229,35
290,20170720,201,36
290,20170721,182,24
