Serialnumber;Postal code;Measurement source type;Measurement date;Measurement time;Unit;Measurement value;Correction;House type;Residents;Energy label;Solar panels
1011219;7545DG;electricity;1-11-2020;01:00:00;kWh;0,10;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;02:00:00;kWh;0,08;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;03:00:00;kWh;0,08;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;04:00:00;kWh;0,08;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;05:00:00;kWh;0,08;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;06:00:00;kWh;0,10;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;07:00:00;kWh;0,44;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;08:00:00;kWh;0,22;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;09:00:00;kWh;0,12;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;10:00:00;kWh;0,10;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;11:00:00;kWh;0,11;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;12:00:00;kWh;0,22;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;13:00:00;kWh;0,19;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;14:00:00;kWh;0,23;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;15:00:00;kWh;0,59;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;16:00:00;kWh;0,31;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;17:00:00;kWh;0,36;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;18:00:00;kWh;0,27;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;19:00:00;kWh;0,19;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;20:00:00;kWh;0,39;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;21:00:00;kWh;1,86;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;22:00:00;kWh;1,27;;rowHouse;4;a;0
1011219;7545DG;electricity;1-11-2020;23:00:00;kWh;0,44;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;00:00:00;kWh;0,13;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;01:00:00;kWh;0,08;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;02:00:00;kWh;0,09;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;03:00:00;kWh;0,08;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;04:00:00;kWh;0,08;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;05:00:00;kWh;0,08;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;06:00:00;kWh;0,09;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;07:00:00;kWh;0,20;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;08:00:00;kWh;0,28;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;09:00:00;kWh;0,16;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;10:00:00;kWh;0,29;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;11:00:00;kWh;0,29;;rowHouse;4;a;0
1011219;7545DG;electricity;2-11-2020;12:00:00;kWh;0,20;;rowHouse;4;a;0
