Serialnumber;Postal code;Measurement source type;Measurement date;Measurement time;Unit;Measurement value;Correction;House type;Residents;Energy label;Solar panels
1011216;7548BM;electricity;1-12-2020;01:00:00;kWh;0,286;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;02:00:00;kWh;0,2042;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;03:00:00;kWh;0,2199;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;04:00:00;kWh;0,2209;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;05:00:00;kWh;0,208;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;06:00:00;kWh;0,2167;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;07:00:00;kWh;0,2278;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;08:00:00;kWh;0,4243;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;09:00:00;kWh;0,4313;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;10:00:00;kWh;0,2517;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;11:00:00;kWh;0,2614;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;12:00:00;kWh;0,9087;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;13:00:00;kWh;0,9127;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;14:00:00;kWh;0,512;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;15:00:00;kWh;0,3672;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;16:00:00;kWh;1,3457;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;17:00:00;kWh;0,758;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;18:00:00;kWh;0,3336;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;19:00:00;kWh;0,353;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;20:00:00;kWh;0,7202;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;21:00:00;kWh;1,835;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;22:00:00;kWh;0,3745;;detachedHouse;3;c;12
1011216;7548BM;electricity;1-12-2020;23:00:00;kWh;0,3963;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;00:00:00;kWh;1,3605;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;01:00:00;kWh;1,5993;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;02:00:00;kWh;0,2549;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;03:00:00;kWh;0,2355;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;04:00:00;kWh;0,2138;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;05:00:00;kWh;0,21;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;06:00:00;kWh;0,2251;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;07:00:00;kWh;0,2417;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;08:00:00;kWh;0,4246;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;09:00:00;kWh;0,3357;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;10:00:00;kWh;0,3043;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;11:00:00;kWh;0,5246;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;12:00:00;kWh;0,5459;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;13:00:00;kWh;0,3573;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;14:00:00;kWh;1,8524;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;15:00:00;kWh;1,4948;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;16:00:00;kWh;0,6945;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;17:00:00;kWh;0,6734;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;18:00:00;kWh;0,6495;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;19:00:00;kWh;1,0673;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;20:00:00;kWh;0,9795;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;21:00:00;kWh;1,0685;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;22:00:00;kWh;0,5097;;detachedHouse;3;c;12
1011216;7548BM;electricity;2-12-2020;23:00:00;kWh;0,6797;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;00:00:00;kWh;1,802;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;01:00:00;kWh;0,5072;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;02:00:00;kWh;0,2259;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;03:00:00;kWh;0,2282;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;04:00:00;kWh;0,2405;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;05:00:00;kWh;0,2169;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;06:00:00;kWh;0,2341;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;07:00:00;kWh;0,2347;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;08:00:00;kWh;0,2177;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;09:00:00;kWh;0,7897;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;10:00:00;kWh;0,8953;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;11:00:00;kWh;0,5674;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;12:00:00;kWh;0,8639;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;13:00:00;kWh;0,4947;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;14:00:00;kWh;0,2717;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;15:00:00;kWh;0,5569;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;16:00:00;kWh;0,5306;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;17:00:00;kWh;0,7835;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;18:00:00;kWh;1,4546;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;19:00:00;kWh;0,4835;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;20:00:00;kWh;0,3622;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;21:00:00;kWh;0,3233;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;22:00:00;kWh;0,2939;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;23:00:00;kWh;0,4689;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;00:00:00;kWh;0,3457;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;01:00:00;kWh;0,3394;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;02:00:00;kWh;0,2664;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;03:00:00;kWh;0,2715;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;04:00:00;kWh;0,2643;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;05:00:00;kWh;0,2419;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;06:00:00;kWh;0,2555;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;07:00:00;kWh;0,2719;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;08:00:00;kWh;0,2588;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;09:00:00;kWh;0,4957;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;10:00:00;kWh;0,0534;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;11:00:00;kWh;0,1795;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;12:00:00;kWh;0,2435;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;13:00:00;kWh;0,4998;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;14:00:00;kWh;0,2721;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;15:00:00;kWh;0,4064;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;16:00:00;kWh;0,5841;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;17:00:00;kWh;0,9399;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;18:00:00;kWh;1,6089;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;19:00:00;kWh;0,6284;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;20:00:00;kWh;0,8001;;detachedHouse;3;c;12
