Serial_number,Postal_Code,House_Type,Residents,Energy_Label,Solar_Panels,Average_Use,Gas_Reduction,Days,Old_usage,New_usage,Construction_year,Residence_time_1year,Influence_on_heating,Change_number_of_residents,Change_in_resident_behaviour
1011216,7548BM,detachedHouse,3.0,c,12.0,0.6568615384615385,-60.49725099942933,28,74.55378461538461,118.48906587615386,1987.0,True,False,False,True
1011240,7543ES,detachedHouse,2.0,a,16.0,0.608123076923077,-20.130243938829317,28,69.02196923076924,79.23264910030768,2006.0,True,False,False,False
1011267,7546PW,cornerHouse,2.0,g,0.0,0.24627692307692306,65.26359211396982,28,27.952430769230766,11.35267347469231,1928.0,True,False,False,False
1011341,7523HJ,semiDetachedHouse,4.0,a,0.0,0.1104,-375.96800621114375,23,10.285600000000002,49.38457648799999,2006.0,True,False,False,True
1012352,7511AD,apartment,2.0,c,0.0,0.02990769230769231,-952.7830568552284,28,3.3945230769230776,37.31136922076924,1998.0,True,False,False,False
1012373,7542NS,semiDetachedHouse,6.0,c,32.0,0.13144615384615385,-351.82939037164044,28,14.91913846153846,71.97189170561538,1990.0,True,False,False,True
1013491,7522BA,cornerHouse,1.0,c,13.0,0.0768,-565.3645091851911,23,7.155199999999999,45.478280544,1954.0,True,False,False,False
1013553,7514BT,semiDetachedHouse,4.0,f,0.0,0.35593846153846154,-187.72253715743884,28,40.399015384615375,113.30422064284615,1924.0,True,False,False,True
1013667,7523AC,semiDetachedHouse,2.0,c,0.0,0.07273846153846154,-505.4893481431833,23,6.776799999999998,39.206880561,1992.0,True,False,False,True
1013671,7531MB,detachedHouse,2.0,b,9.0,0.05501538461538462,-2038.6357161582648,23,5.1256,108.00451086199999,1990.0,True,True,False,False
1013672,7514AV,semiDetachedHouse,1.0,a,0.0,0.030646153846153847,-1134.5544137773406,12,1.4863384615384616,20.108415380615384,1981.0,True,True,False,False
1013702,7521GE,semiDetachedHouse,4.0,g,0.0,0.7905230769230768,42.90224326090255,25,80.10633846153844,50.26271214861538,1940.0,True,False,False,True
