Serial_number,Postal_code,District_heating,Underfloor_heating,Gasmeter_type,House_type,Residents,Energy_label,Solar_panels,Construction_year,Residence_time_1year,Influence_on_heating,Change_number_of_residents,Change_in_resident_behaviour,Av_old_usage,Min_old_usage,Max_old_usage,Av_new_usage,Min_new_usage,Max_new_usage,Av_gas_reduction,Min_gas_reduction,Max_gas_reduction
1013491,7522BA,False,False,Smart meter,cornerHouse,1.0,c,13.0,1954,True,False,False,False,736.2615140465433,694.8123251746259,780.2432392275954,243.1551203047423,242.89722590474233,243.2027747047423,65.06158580039029,67.11577505688756,62.90962470617376
1011240,7543ES,False,False,Smart meter,detachedHouse,2.0,a,16.0,2006,True,False,False,False,1311.0448466188493,1233.7164816201905,1390.0919869448549,1306.7718426657577,1304.72976537345,1307.1491830349885,1.7849911956212994,7.520654848713226,0
1011267,7546PW,False,Partial,Smart meter,cornerHouse,2.0,g,0.0,1928,True,False,False,False,160.79051505389472,150.0243202565897,170.75093935000837,46.535903984964335,45.708906077272026,46.68871881573356,71.73869488114225,73.87464566500073,69.6123697255388
1013553,7514BT,False,False,Mechanical meter,semiDetachedHouse,4.0,f,0.0,1924,True,False,False,True,1871.6516714487134,1749.7342869598526,1999.888270759377,1478.0956046943377,1469.9996907186294,1484.8012984420302,17.154999058516896,22.985298748551987,10.863393337444416
1012373,7542NS,False,False,Mechanical meter,semiDetachedHouse,6.0,c,32.0,1990,True,False,False,True,1147.7328880236994,1077.3632835511025,1222.2884834460924,682.5924654882158,679.6026881278918,685.0688420174465,36.36274298825428,40.59987173533203,31.844206518518526
1012352,7511AD,False,False,Mechanical meter,apartment,2.0,c,0.0,1998,True,False,False,False,620.0023096387538,597.602260955885,642.931098169472,411.73111489779546,411.0508565658117,412.294560119334,26.709289959809045,29.60133520667706,23.672592461607668
1011341,7523HJ,False,False,Mechanical meter,semiDetachedHouse,4.0,a,0.0,2006,True,False,False,True,965.254432020546,906.0803771936271,1027.9494737886762,547.721468694433,545.2103916418015,549.801346734433,40.13136100261815,44.11515476677697,35.88690878631427
1013672,7514AV,False,False,Mechanical meter,semiDetachedHouse,1.0,a,0.0,1981,True,True,False,False,1553.225822425119,1501.7055153531721,1606.0509389038634,78.23915384615384,77.54209901214574,78.81651129538461,94.96279596201951,95.17187798133797,94.75153347380171
1013671,7531MB,False,False,Mechanical meter,detachedHouse,2.0,b,9.0,1990,True,True,False,False,1808.5720852903446,1743.8647023562803,1874.8919302832965,1088.37272539023,1087.1213859894206,1089.409186353307,37.82203735229651,40.152403484868316,35.38226997583159
1013667,7523AC,False,False,Mechanical meter,semiDetachedHouse,2.0,c,0.0,1992,True,False,False,True,682.4472085366752,640.8793292230035,726.5235072741827,449.4403283219667,447.78587287257403,450.81068274965907,32.93331215778418,37.28025098804826,28.309067857855762
1011216,7548BM,False,False,Mechanical meter,detachedHouse,3.0,c,12.0,1987,True,False,False,True,30867.458934630256,29120.536221574243,32737.26859127764,1199.6889964751467,1184.7485079245396,1212.0639230074546,96.02939332214818,96.30560748936095,95.74429365579454
1013654,7534KA,False,False,Mechanical meter,detachedHouse,2.0,b,16.0,1998,True,False,False,True,200.56937259985227,189.43421837883386,212.51830179439207,251.52015872659794,251.52015872659794,251.52015872659794,0,0,0
1013702,7521GE,False,Partial,Mechanical meter,semiDetachedHouse,4.0,g,0.0,1940,True,False,False,True,323.3266448671202,265.3823368463009,379.7517815111548,584.2806127919431,566.2999573749389,599.1736525365584,0,0,0
